PDK,Status,Name,Owner,Work type,Tag,Branch,Creator,Is automated,Business line,Summary,Accounting type
ax-client-request,active,,Client experience,agent,,"GB, SG",agent,FALSE,accounting,Internal task created from a client conversation,"OA, Xero"
ax-ocbc-account-connect,deprecated,Connect your OCBC accounts,,client,"bank account, bank connection",SG,system,FALSE,accounting,Establish OCBC bank integration,OA
ax-unknown-bank-account,active,Confirm bank account details,Client experience,client,"bank account, documents collection","GB, HK, SG",system,TRUE,accounting,Confirmation of bank account details in a bank statement,"OA, Xero"
ax-unrecognised-bank-account,active,Choose the relevant account for bank statements,Client experience,client,"bank account, documents collection","GB, HK, SG",system,TRUE,accounting,A client has to choose the correct bank account for a bank statement with none present in the document,"OA, Xero"
bi-card-survey,deprecated,OSOME subscription,,communication,,"GB, HK, SG",,,billing,Conversation for Osome subscription renewal,
bi-direct-debit-mandate-canceled,active,Mandate cancelled,Billing and growth,client,,GB,system,TRUE,billing,Notification about cancelled Direct debit mandate,
bi-direct-debit-mandate-expired,active,Mandate expired,Billing and growth,client,,GB,system,TRUE,,,
bi-direct-debit-payment-failed,deprecated,,,client,,GB,,,billing,Notification for failed payment,
co-nominee-director-assignmentgh,active,New ND Introduction — <Company name> — <Client name>,Billing and growth,client,,"GB, SG",system,,compliance,New ND Introduction,
cp-missing-in-action,active,,Billing and growth,agent,,"GB, SG",agent,FALSE,compliance,setting client as Missing In Action,
cp-other,active,,Billing and growth,agent,,"GB, HK, SG",agent,,compliance,KYC during Onboarding,
cp-termination-notice,active,Termination Notice for Nominee Director,Billing and growth,agent,,"GB, SG",system,,nomineeDirector,Termination Notice for Nominee Director,
cs-acra-penalties,deprecated,,,client,,?,,,corporateSecretary,This is not required since penalties are linked to existing transaction,
cs-adoption-of-agreement,active,Resolution for adoption of agreements,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cs-adoption-of-constitution,active,Resolution for adopting revised constitution,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cs-advise-needed,deprecated,,,agent,,?,,,corporateSecretary,This is for adhoc advises required by the client,
cs-allotment-of-shares,active,Allotment of shares,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Additional shares to be allotted to existing / new shareholder

Please provide the following information:
1. No. of shares to be allotted
2. Name of shareholder
3. Subscription money",
cs-annual-filing,deprecated,,,agent,,?,,,corporateSecretary,This is for annual general meeting and annual return filing both. We can probably have one pdk which is annual filing and eliminate the annual general meeting pdk.,
cs-annual-general-meeting,active,Hold Annual General Meeting,Billing and growth,agent,filing flow,"GB, SG","agent, system",,corporateSecretary,This can be removed and we can use only annual filing pdk which means both AGM and AR. The automation logic will also have to be changed in SG,
cs-annual-returns,active,Annual Return,Billing and growth,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,HK: A Hong Kong private company must in respect of every year deliver its annual return to the Registrar of Companies for registration within 42 days after the anniversary of the date of the company's incorporation in that year,
cs-appointment-of-new-auditor,active,Appointment of auditor,Billing and growth,client,,"GB, SG",agent,,corporateSecretary,"SG : A private company is required to appoint an Auditor when it satisfies any 2 of the following criteria for each of the 2 financial years immediately before the current financial year:
1. The company’s annual revenue exceeds $10 million;
2. The value of the company’s total assets exceeds $10 million; or
3. The company has more than 50 employees.",
cs-appointment-of-new-director,active,Appointment of Director,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Addition of new director(s)

Please provide the following information:
1. Name of directors
2. Effective date of appointment
3. Residential address
4. Passport / HKID",
cs-appointment-of-new-secretary,active,Appointment of Secretary,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Addition of new secretary

Please provide the following information:
1. Name of secretary
2. Effective date of appointment
3. Residential address
4. Passport / HKID",
cs-bank-account-opening,active,Your bank account,Client experience,client,bank account,GB,"agent, system",FALSE,corporateSecretary,,"None-accounting, OA, Xero"
cs-phys-docs-prep,,Green Box (GBA),,,,HK,system,TRUE,corporateSecretary,Physical documents preparing for clients,
cs-phys-docs-prep-local,,Green Box (BAU & Local),,,,HK,system,TRUE,corporateSecretary,Physical documents preparing for clients,
cs-capital-injection,,Capital injection (without allotment of shares),,,,HK,system,TRUE,corporateSecretary,Capital injection,
cs-setup-branch-office,,Corporate Secretary - Set up branch office,,,,HK,system,TRUE,corporateSecretary,Physical documents preparing for clients,
nd-bank-statements-and-mr,active,Bank statements and MR,Client experience,agent,,"GB, SG",agent,FALSE,nomineeDirector,,
ob-signing-pre-incorporation-documents,active,Check and sign pre-incorporation docs,Billing and growth,client,incorporation,SG,system,TRUE,onboarding,,
cs-bank-account-opening-follow-up,deprecated,,,agent,,?,,,corporateSecretary,,
cs-certification-of-documents,active,Certification of corporate documents,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,HK: Corporate documents to be certified by a Chartered Secretary.,
cs-change-of-business-activity,active,Change of Business Activity ?,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,HK: Change of business activities in Business Registration Certificate,
cs-change-of-company-address,active,Change of Company Address ?,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Change of registered office address of the company

Please provide the following information:
-new registered office address",
cs-change-of-company-name,active,Change of Company Name ?,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK:
Change of company name

Please provide the following information:
- proposed company name",
cs-change-of-directors-particulars,active,Change of Director's residential address / ID or passport number,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Change of Director’s residential address / ID or passport no.

Please provide the following information:
- new residential address 
- new HKID / passport no.
- effective date of change",
cs-change-of-financial-year-end,active,Change of FYE ?,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Change of financial year end

Please provide the following information:
- new financial year end date",
cs-change-of-secretarys-particulars,active,Change of Secretary’s address/ ID or passport number,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Change of Secretary’s residential address / ID or passport no.

Please provide the following information:
- new residential address 
- new HKID / passport no.
- effective date of change",
cs-change-of-shareholders-particulars,active,Change of Shareholder’s address,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Change of Shareholder address

Please provide the following information:
- new address
- effective date of change",
cs-closing-sp-partnership,deprecated,,,agent,,?,,,corporateSecretary,,
cs-collection-of-statutory-files,deprecated,,,agent,,"GB, SG",,,corporateSecretary,,
cs-corp-pass,active,CorpPass Registration,Billing and growth,client,,"GB, SG",agent,,corporateSecretary,,
cs-deregistration-of-charge,deprecated,Deregistration,,agent,,HK,,,corporateSecretary,Deregistration of a company,
cs-employment-pass,deprecated,,,agent,,?,,,corporateSecretary,,
cs-follow-up,deprecated,,,client,,"GB, SG",,,corporateSecretary,,
cs-hsbc-account-application,deprecated,Application for HSBC bank account,,client,,HK,,,corporateSecretary,Application for HSBC bank account,
cs-incorporation,active,Incorporation,Billing and growth,agent,,"GB, HK, SG",agent,FALSE,corporateSecretary,,
cs-incorporation-pte-ltd-local,active,Incorporation for Singaporean,Billing and growth,agent,,"GB, SG",agent,,onboarding,,
cs-kyc-status-recovery,active,,Billing and growth,agent,,"GB, HK, SG","agent, system",,compliance,Redo KYC - Periodical Review,
cs-legalisation,active,,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cs-name-reservation,deprecated,,,agent,,?,,,corporateSecretary,,
cs-notice-for-controller,active,Sign Notice for Controller,Billing and growth,client,,SG,"agent, system",,corporateSecretary,,
cs-notice-for-controller-fallback,active,Update information about <User name>,Billing and growth,agent,,"GB, SG",system,,corporateSecretary,,
cs-other,active,,Billing and growth,communication,,"GB, HK, SG",agent,,corporateSecretary,,
cs-purchase-of-acra-extract,active,,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,HK: N/A,
cs-referral-program-follow-up,deprecated,,,client,,?,,,corporateSecretary,,
cs-register-of-nominee-shareholders,deprecated,,,agent,,"GB, SG",,,corporateSecretary,,
cs-registration-of-charge,deprecated,,,agent,,?,,,corporateSecretary,,
cs-removal-of-exisiting-auditor,deprecated,,,agent,,?,,,corporateSecretary,,
cs-removal-of-exisiting-director,active,"Resignation of Director ",Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Resignation of director

Please provide the following information:
- Name of director
- Date of resignation",
cs-removal-of-exisiting-secretary,active,Resignation of Secretary,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Resignation of Secretary

Please provide the following information:
- Date of resignation",
cs-removal-of-existing-auditor,active,Resignation of Auditors,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cs-share-cancellation,active,,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cs-share-capital-reduction,active,,Billing and growth,client,,"GB, SG",agent,,corporateSecretary,,
cs-share-transfer,active,Transfer of shares,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,"HK: Share(s) transfer from existing shareholder to another 

Please provide the following information:
1. Name of Transferor
2. Name of Transferee
3. No. of shares
4. Consideration paid",
cs-signing-consent-to-act-as-secretary-document,active,Sign consent to act as secretary document,Billing and growth,client,,"GB, SG","agent, system",,corporateSecretary,,
cs-statutory-audit,deprecated,,,agent,,?,,,corporateSecretary,,
cs-striking-off-llp,deprecated,,,agent,,"GB, SG",,,corporateSecretary,,
cs-striking-off-the-company,active,,Billing and growth,agent,,"GB, HK, SG",agent,,corporateSecretary,HK: N/A,
cs-update-of-registrable-controller,active,,Billing and growth,agent,,"GB, SG",agent,,corporateSecretary,,
cx-client,active,New conversation,Client experience,communication,,"GB, HK, SG",client,FALSE,"client, clientSuccess",Conversations on various unstructured topics,"None-accounting, OA, Xero"
cx-client,deprecated,,,communication,,?,,,onboarding,,
cx-hard-bounce,deprecated,Update email address,Client experience,agent,,"GB, HK, SG",system,TRUE,clientSuccess,Task for agent to collect correct email address,"None-accounting, OA, Xero"
cx-info,deprecated,Update the details for your subscription,,communication,,"GB, HK, SG",system,TRUE,other,The notification about billing details changes,None-accounting
cx-info,deprecated,,Client experience,communication,,"GB, HK, SG",agent,FALSE,"client, clientSuccess, other",Conversations on various unstructured topics,"None-accounting, OA, Xero"
cx-new-request,deprecated,,Client experience,communication,,"GB, SG",client,FALSE,other,Seems like outdated group for Client success chats,"None-accounting, OA, Xero"
cx-other,active,,Client experience,communication,,"GB, HK, SG",agent,FALSE,"client, clientSuccess",A mixture of Client Success processes,"None-accounting, OA, Xero"
cx-internal,active,,Client experience,agent,,"GB, HK, SG",agent,FALSE,clientSuccess,,
is-advise-needed,active,,,agent,,"GB, SG",agent,,immigrationServices,,
is-dependants-pass,active,,,agent,,"GB, SG",agent,,immigrationServices,,
ax-corp-tax-payment-to-hmrc,active,Pay Corporation Tax for <period>,,agent,,GB,system,,,,
is-employment-pass,active,,,agent,,"GB, SG",agent,,immigrationServices,,
is-follow-up,active,,,agent,,"GB, SG",agent,,immigrationServices,,
is-loc,active,,,agent,,"GB, SG",agent,,immigrationServices,,
is-other,active,,,agent,,"GB, SG",agent,,immigrationServices,,
ob-accounting-company-setup,active,Add your business details,Client experience,client,"accounting onboarding, onboarding checklist",GB,"agent, system",TRUE,onboarding,Collecting company details for the accounting,
ac-csch-historical-report,deprecated,Historical Confirmation Statements review,,agent,report,GB,system,FALSE,accounting,Historical Confirmation Statements review,OA
ob-accounting-historical-data,active,Share historical accounting data,,client,"accounting onboarding, documents collection, onboarding checklist","GB, SG","agent, system",TRUE,onboarding,Get client's historical accounting data / contact of previous accountant,"OA, Xero"
ob-accounting-setup-status,deprecated,,,communication,,?,,,onboarding,,
ob-advise-needed,active,,,agent,,"GB, HK, SG",agent,,onboarding,,
ob-bank-account-wizard,active,OCBC is getting your Business Account ready,,client,,"GB, SG",system,,onboarding,OCBC is getting your Business Account ready,
ob-bank-connections,to be deprecated,Connect your bank accounts,,client,"accounting onboarding, bank account, bank connection, onboarding checklist","GB, SG","agent, system",FALSE,onboarding,Client ticket to set up bank integrations,"OA, Xero"
ob-bookkeeping-integration,active,Set up integrations to automate bookkeeping,Client experience,client,"accounting onboarding, onboarding checklist","GB, HK, SG",system,FALSE,onboarding,Client ticket to set up e-commerce integrations,
ob-data-collection,active,Share details about your business,Billing and growth,client,"incorporation, onboarding checklist","GB, HK, SG","agent, system",TRUE,onboarding,Client ticket for business description and details,
ob-follow-up,active,,,agent,,"GB, HK, SG",agent,,onboarding,,
ob-if-bank-account-opened,deprecated,,,communication,,?,,,onboarding,,
ob-if-converted-to-paid_accounting,deprecated,,,communication,,?,,,onboarding,,
ob-incorporation-application,deprecated,,,communication,,?,,,other,,
ob-incorporation-application,active,Incorporation,,agent,,GB,"agent, system",,onboarding,,
ob-incorporation-compliance-waiting,active,Check and sign pre-incorporation docs,,agent,,"GB, SG",system,TRUE,onboarding,For KYC agent to send out pre-incorporation documents or when agent needs to go back to client and request for additional documents/information during Compliance review stage,
ob-incorporation-congrats,active,Congrats! Next step for your business,,client,,"GB, SG",system,,clientSuccess,Suggestion for client to Book a call after the Incorporation,
ob-incorporation-data-missed,active,Bank account ticket was not created,,agent,bank account,GB,system,FALSE,onboarding,,"None-accounting, OA, Xero"
ob-incorporation-payment,active,SSF Payment,,client,,"GB, SG",client,,onboarding,Created to track payment during self-service incorporation,
ob-incorporation-progress,active,Your incorporation progress,,communication,,GB,system,,onboarding,,
ob-incorporation-share-details,active,Share data,,client,incorporation,"GB, SG",system,TRUE,onboarding,Client ticket for business description and details,
ob-incorporation-shareholder-congrats,active,,,client,,"GB, SG",system,,clientSuccess,Congrats on incorporation and information on where to find documents,
ob-incorporation-track,active,,,client,,"GB, SG",system,,onboarding,,
ob-kyc,active,"Identity check
Confirm your identity",Billing and growth,client,"incorporation, onboarding checklist","GB, HK, SG","agent, system",TRUE,onboarding,,"None-accounting, OA, Xero"
ob-meet-your-accountant,active,Meet your Osome Accounting Team,Client experience,client,"accounting onboarding, onboarding checklist","GB, HK, SG",system,TRUE,onboarding,Book a call feature with 'Meet your accountant' ticket,OA
ob-meeting,active,,,agent,,"GB, SG",agent,,onboarding,Setting up Onboarding call,
ob-new-lead,active,Start your business with Osome,,agent,,"GB, HK, SG","agent, system",,onboarding,,
ob-new-nominee-director-assignation,active,Meet the nominee director,,communication,,"GB, SG",system,TRUE,clientSuccess,Client-Nominee Director ticket for Deed of Indemnity and Consent form,
ob-onboarding,active,"Confirm your identity
Identity check
Welcome to Osome",,client,,"GB, HK, SG","agent, system",,onboarding,"Welcome to Osome ticket not applicable to KYC team/process

Confirm your identity and Identity check tickets are for individual KYC verification and process",
ob-other,active,,,agent,,"GB, HK, SG",agent,,onboarding,,
ob-qualification,deprecated,Qualification,,client,,SG,system,TRUE,onboarding,,"None-accounting, OA, Xero"
ob-review-company,deprecated,Let’s review your company information,,client,,"GB, SG",system,TRUE,clientSuccess,"Showing information about the client’s company ","None-accounting, OA, Xero"
ob-send-document,active,Sign <Company name> for <File name>,Client experience,communication,,"GB, HK, SG",system,FALSE,clientSuccess,Conversation format request for a client to sign a document,"None-accounting, OA, Xero"
ob-signing-incorporation-documents,active,,,client,,"GB, SG","agent, system",,onboarding,,
ob-signing-incorporation-documents-cad,deprecated,,,agent,,"GB, SG",,,onboarding,,
ob-signing-incorporation-documents-cdd,deprecated,,,agent,,"GB, SG",,,onboarding,,
ob-signing-incorporation-documents-cs,deprecated,,,communication,,"GB, SG",,,onboarding,,
ob-welcome,deprecated,Welcome to Osome,,client,,"GB, SG",system,,onboarding,Welcome to Osome ticket,
ob-xero-connection,deprecated,,,client,,"GB, HK, SG",system,,onboarding,Outdated ticket to set up Xero connection,Xero
other,active,,,agent,,"GB, SG",agent,,accounting,"Seems random, but probably still needed",
other,deprecated,,,communication,,"GB, HK, SG",,,other,Seems like outdated random group of chats,
ps-incorporation-onboarding,active,Onboarding <Company name>,,client,,"GB, SG","agent, system",FALSE,clientSuccess,Client Success introduction of companies incorporated by Partners,"None-accounting, OA, Xero"
ps-incorporation-onboarding,deprecated,,,communication,,?,,,whiteLabel,,
ps-incorporation-request,active,Aspire incorporation <Company name>,,agent,,"GB, SG","agent, system",,whiteLabel,,
nd-notices-and-summons,active,Notices and summons,Client experience,agent,,"GB, SG",agent,FALSE,nomineeDirector,,
nd-strike-off-matters,active,Strike off matters,Client experience,agent,,"GB, SG",agent,FALSE,nomineeDirector,,
ps-incorporation-upsale,active,Aspire incorporation upsale,,client,,"GB, SG",system,,onboarding,,
cs-incorporation,active,Incorporate company,,agent,incorporation,SG,system,TRUE,,,
ac-personal-income-tax,active,Self-Assessment Tax Return filing to HMRC for <YYYY>,,agent,filing flow,GB,system,TRUE,accounting,,OA
referral-other,deprecated,,,agent,,"GB, SG",,,referral,Seems outdated random collection of tickets,
ru-other,active,,,agent,,"GB, HK, SG",agent,FALSE,renewalsUpsell,,
sl-one-one-chat,deprecated,,,communication,,"GB, SG",,,other,Seems outdated random group,
tx-advise-needed,active,,,communication,,"GB, SG",agent,,taxation,,
tx-application-of-cor,active,Certificate of Residence ?,,agent,,"GB, SG",agent,,taxation,Certificate of residence,
tx-csc-report-internal,active,Form C-S/C <Date>,,agent,"filing flow, report, year end",SG,system,FALSE,taxation,Complete the Form C-S/C for the client,"OA, Xero"
